"","x","y","title","region"
"1",1,0.0545944447158971,"Dog","NE"
"2",2,0.663794656626822,"Dog","NE"
"3",3,0.366277149165034,"Dog","NE"
"4",4,-0.210633534326786,"Dog","NE"
"5",5,0.674001032768815,"Dog","NE"
"6",6,0.532004399874085,"Dog","NE"
"7",7,1.10899918278486,"Dog","NE"
"8",8,1.12368817986473,"Dog","NE"
"9",9,0.854594444715897,"Dog","NE"
"10",10,1.46379465662682,"Dog","NE"
"11",11,1.16627714916503,"Dog","NE"
"12",12,0.589366465673214,"Dog","NE"
"13",13,1.47400103276882,"Dog","NE"
"14",14,1.33200439987409,"Dog","NE"
"15",15,1.90899918278486,"Dog","NE"
"16",16,1.92368817986473,"Dog","NE"
"17",17,1.6545944447159,"Dog","NE"
"18",18,2.26379465662682,"Dog","NE"
"19",19,1.96627714916503,"Dog","NE"
"20",20,1.38936646567321,"Dog","NE"
